number,name,address,position.lat,position.lng
1,Belcoo,N16,54.29621656,-7.87179253
2,Europa Bus Centre,Glengall Street,54.59459264,-5.936600821
3,Europa Bus Centre,Glengall Street,54.5944841,-5.936559879
4,Europa Bus Centre,,54.59505428,-5.936267932
5,Europa Bus Centre,,54.59508806,-5.93719485
6,Banbridge,Newry Street,54.34645508,-6.271542841
7,Banbridge,Newry Street,54.34629711,-6.271180292
8,Derrylin,,54.19337963,-7.567848574
9,Derrylin,,54.19331706,-7.567941168
10,Dungannon,,54.50100156,-6.774142049
11,Dungannon,,54.50100156,-6.774142049
12,Ballygawley,,54.46282484,-7.028651109
13,Kilcoo,,54.23134016,-6.030641757
14,Kilcoo,,54.23143121,-6.030714122
15,Canal Street,,54.82774606,-7.463786397
16,Canal Street,,54.82774606,-7.463786397
17,Bradley Way,,54.82650681,-7.470074463
18,Ulsterbus Depot,,54.60164073,-7.300481242
19,Newcastle,,54.21504282,-5.888254828
20,Newcastle,,54.21504282,-5.888254828
21,Mayobridge,,54.18054026,-6.231328863
22,Mayobridge,,54.18048277,-6.231086182
23,Hilltown,,54.19490796,-6.145715278
24,Hilltown,,54.19478696,-6.14544482
25,Rathfriland,,54.23655253,-6.158499705
26,Stop No. 158011,,54.3524001,-6.654315504
27,Lonsdale Road Bus Station,,54.35234603,-6.654301887
28,Portadown,,54.42283318,-6.443366695
29,Lurgan,,54.46724214,-6.399903668
30,Kesh,,54.52259466,-7.722690617
31,Kesh,,54.52253127,-7.722474797
32,Lisnarick,,54.47460731,-7.701215002
33,Lisnarick,,54.47456211,-7.701107333
34,Shore Road Car Park,,54.34348165,-7.638035304
35,Shore Road Car Park,,54.34355354,-7.638034673
36,Derrylin,,54.19999478,-7.575902317
37,Derrylin,,54.19993237,-7.57604089
38,BRGHB,,54.29720327,-7.870207186
39,Belleek,,54.4761706,-8.094501987
40,Castlewellan,,54.2571405,-5.944403715
41,Castlewellan,,54.25698758,-5.944395974
42,Dundrum,,54.25758216,-5.844173885
43,Dundrum,,54.25763089,-5.844386251
44,Clough,,54.29169879,-5.837644362
45,Clough,,54.29190559,-5.837648887
46,Downpatrick,,54.32585464,-5.71973073
47,DNPTR,,54.32585464,-5.71973073
48,Lisnarick,,54.47653363,-7.698994602
49,Lisnarick,,54.47641682,-7.69899546
50,Meigh Cross,,54.11588432,-6.357284571
51,Killeen Bridge,,54.13102309,-6.346478898
52,Bridge St Northbound (Killeen Bridge),,54.13100864,-6.346081612
53,Newry,,54.17287149,-6.340995722
54,Newry,,54.17286558,-6.34056706
55,Newry,,54.16825303,-6.339097562
56,Derry (Magee Campus Strand Road),,55.00447629,-7.321781701
57,Cullaville,,54.06204482,-6.643525169
58,Culloville (Mace),,54.0618762,-6.64371398
59,Sprucefield Shopping Centre,,54.487234,-6.065393108
60,Sprucefield,,54.48724338,-6.06597923
61,Long Shore Road Belleck,Long Shore Road,54.47621555,-8.094471233
62,Newry,Monaghan Street,54.17680231,-6.343212856
63,Newry,The Mall,54.17561606,-6.33995141
64,Newry Bus Station,,54.17586809,-6.339328557
65,Letterbreen,,54.30949256,-7.732161834
66,Letterbreen,,54.30928706,-7.732685628
67,Ulsterbus Depot,,54.99662876,-7.317866335
68,Ballymagrorty,,55.03340435,-7.357771751
69,Coshquin,,55.03357529,-7.357815945
70,Culmore Point,Culmore Road,55.0457123,-7.27444007
